,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
3881,3881,300: Rise of an Empire,48.0,R,102 min,07 Mar 2014,2014,"Action, Fantasy","$91,024,535",6.2,"266,414",Internet Movie Database,6.2/10,Rotten Tomatoes,45%,Metacritic,48/100
3882,3882,Mr. Peabody & Sherman,59.0,PG,92 min,07 Mar 2014,2014,"Animation, Adventure, Comedy, Family, Sci-Fi","$101,784,999",6.8,"58,022",Internet Movie Database,6.8/10,Rotten Tomatoes,81%,Metacritic,59/100
3883,3883,Better Living Through Chemistry,40.0,Not Rated,91 min,14 Mar 2014,2014,"Comedy, Drama","$51,772",6.3,"13,502",Internet Movie Database,6.3/10,Rotten Tomatoes,22%,Metacritic,40/100
3884,3884,Need for Speed,39.0,PG-13,132 min,14 Mar 2014,2014,"Action, Crime, Thriller","$40,138,026",6.5,"155,927",Internet Movie Database,6.5/10,Rotten Tomatoes,22%,Metacritic,39/100
3885,3885,The Single Moms Club,31.0,PG-13,111 min,14 Mar 2014,2014,"Comedy, Drama","$15,986,272",5.3,"5,438",Internet Movie Database,5.3/10,Rotten Tomatoes,19%,Metacritic,31/100
3888,3888,Divergent,48.0,PG-13,139 min,21 Mar 2014,2014,"Action, Adventure, Mystery, Sci-Fi","$129,520,735",6.7,"403,588",Internet Movie Database,6.7/10,Rotten Tomatoes,42%,Metacritic,48/100
3889,3889,God's Not Dead,16.0,PG,113 min,21 Mar 2014,2014,Drama,"$60,753,735",4.7,"38,391",Internet Movie Database,4.7/10,Rotten Tomatoes,13%,Metacritic,16/100
3890,3890,Muppets Most Wanted,61.0,PG,107 min,21 Mar 2014,2014,"Adventure, Comedy, Crime, Family, Musical, Mystery","$46,429,909",6.4,"29,380",Internet Movie Database,6.4/10,Rotten Tomatoes,79%,Metacritic,61/100
3891,3891,50 to 1,37.0,PG-13,110 min,21 Mar 2014,2014,Drama,"$1,063,723",6.4,"1,780",Internet Movie Database,6.4/10,Rotten Tomatoes,17%,Metacritic,37/100
3892,3892,Noah,68.0,PG-13,138 min,28 Mar 2014,2014,"Action, Adventure, Drama, Romance, Thriller","$101,160,529",5.8,"231,461",Internet Movie Database,5.8/10,Rotten Tomatoes,76%,Metacritic,68/100
3893,3893,Sabotage,41.0,R,109 min,28 Mar 2014,2014,"Action, Crime, Drama, Thriller","$8,125,131",5.7,"56,087",Internet Movie Database,5.7/10,Rotten Tomatoes,21%,Metacritic,41/100
3896,3896,Alien Abduction,46.0,Not Rated,85 min,01 May 2014,2014,"Horror, Sci-Fi, Thriller","$10,514",4.9,"7,498",Internet Movie Database,4.9/10,Rotten Tomatoes,28%,Metacritic,46/100
3897,3897,Captain America: The Winter Soldier,70.0,PG-13,136 min,04 Apr 2014,2014,"Action, Adventure, Sci-Fi","$228,636,083",7.8,"681,345",Internet Movie Database,7.8/10,Rotten Tomatoes,90%,Metacritic,70/100
3900,3900,Draft Day,54.0,PG-13,110 min,11 Apr 2014,2014,"Drama, Sport","$21,105,891",6.8,"49,510",Internet Movie Database,6.8/10,Rotten Tomatoes,59%,Metacritic,54/100
