Title,Year
The Santa Clause 2,2002
Scooby-Doo,2002
The Scorpion King,2002
The Secret Lives of Dentists,2002
Secretary,2002
Serving Sara,2002
Showboy,2002
Showtime,2002
The Singles Ward,2002
Signs,2002
Slackers,2002
Snow Dogs,2002
Solaris,2002
Sorority Boys,2002
Spellbound,2002
Spider-Man,2002
Spirit: Stallion of the Cimarron,2002
Spun,2002
Spy Kids 2: The Island of Lost Dreams,2002
Star Wars: Episode II – Attack of the Clones,2002
Star Trek Nemesis,2002
State Property,2002
Stealing Harvard,2002
Stevie,2002
Stolen Summer,2002
Stuart Little 2,2002
The Sum of All Fears,2002
Sunshine State,2002
The Sweetest Thing,2002
Sweet Home Alabama,2002
Swept Away,2002
Swimfan,2002
Tadpole,2002
They,2002
Time Changer,2002
The Time Machine,2002
Timequest,2002
The Transporter,2002
Trapped,2002
Treasure Planet,2002
The Trials of Henry Kissinger,2002
The Truth About Charlie,2002
Tuck Everlasting,2002
The Tuxedo,2002
Two Weeks Notice,2002
Undercover Brother,2002
Undisputed,2002
Unfaithful,2002
Waking Up in Reno,2002
A Walk to Remember,2002
We Were Soldiers,2002
Welcome to Collinwood,2002
White Oleander,2002
The Wild Thornberrys Movie,2002
Windtalkers,2002
xXx,2002
Zig Zag,2002
0.468055556,2003
101 Dalmatians II: Patch's London Adventure,2003
2 Fast 2 Furious,2003
21 Grams,2003
44 Minutes: The North Hollywood Shoot-Out,2003
Abby Singer,2003
Afro-Punk,2003
Agent Cody Banks,2003
Aileen: Life and Death of a Serial Killer,2003
Alex & Emma,2003
Alien Hunter,2003
All the Real Girls,2003
Amandla!: A Revolution in Four-Part Harmony,2003
American Splendor,2003
American Wedding,2003
Anger Management,2003
Anne B. Real,2003
Anything Else,2003
BAADASSSSS!,2003
Bad Boys II,2003
Bad Santa,2003
Basic,2003
The Battle of Shaker Heights,2003
Bells of Innocence,2003
The Best Two Years,2003
Beyond Borders,2003
Big Fish,2003
Biker Boyz,2003
Black Cadillac,2003
Blind Horizon,2003
Blizzard,2003
Boat Trip,2003
Bringing Down the House,2003
Bringing Rain,2003
Brother Bear,2003
The Brown Bunny,2003
Bruce Almighty,2003
Bulletproof Monk,2003
Camp,2003
Carolina,2003
Casa de los Babys,2003
The Cat in the Hat,2003
Charlie's Angels: Full Throttle,2003
Chasing Papi,2003
Cheaper by the Dozen,2003
Christmas Child,2003
Coffee and Cigarettes,2003
Cold Creek Manor,2003
Cold Mountain,2003
Comandante,2003
The Company,2003
Confidence,2003
The Cooler,2003
The Core,2003
Cosmopolitan,2003
Cradle 2 the Grave,2003
Crime Spree,2003
Daddy Day Care,2003
Daredevil,2003
Dark Blue,2003
Darkness Falls,2003
Deliver Us from Eva,2003
Devil's Pond,2003
Dickie Roberts: Former Child Star,2003
Le Divorce,2003
Down with Love,2003
Dreamcatcher,2003
Dumb and Dumberer: When Harry Met Lloyd,2003
Duplex,2003
Dysfunktional Family,2003
Elephant,2003
Elf,2003
Evil Alien Conquerors,2003
Faster,2003
Festival Express,2003
The Fighting Temptations,2003
Final Destination 2,2003
Finding Nemo,2003
Flywheel,2003
The Fog of War,2003
Freaky Friday,2003
Freddy vs. Jason,2003
From Justin to Kelly,2003
Gang of Roses,2003
Gigli,2003
Gods and Generals,2003
Good Boy!,2003
Gothika,2003
Grand Theft Parsons,2003
Grind,2003
A Guy Thing,2003
The Haunted Mansion,2003
Head of State,2003
Hey DJ,2003
Holes,2003
Hollywood Homicide,2003
Honey,2003
Hope Springs,2003
House of 1000 Corpses,2003
House of Sand and Fog,2003
House of the Dead,2003
How to Deal,2003
How to Lose a Guy in 10 Days,2003
Hulk,2003
The Human Stain,2003
The Hunted,2003
I Am David,2003
Identity,2003
Imagining Argentina,2003
In the Cut,2003
The In-Laws,2003
Indigo,2003
Intolerable Cruelty,2003
It Runs in the Family,2003
The Italian Job,2003
Jeepers Creepers II,2003
The Jungle Book 2,2003
Just Married,2003
Kangaroo Jack,2003
Kill Bill: Volume 1,2003
Lara Croft Tomb Raider: The Cradle of Life,2003
The Last Samurai,2003
The League of Extraordinary Gentlemen,2003
"Legally Blonde 2: Red, White & Blonde",2003
The Life of David Gale,2003
The Lizzie McGuire Movie,2003
Looney Tunes: Back in Action,2003
The Lord of the Rings: The Return of the King,2003
Lost in Translation,2003
Love Don't Cost a Thing,2003
Malibu's Most Wanted,2003
A Man Apart,2003
Manhood,2003
Marci X,2003
Masked and Anonymous,2003
Master and Commander: The Far Side of the World,2003
Matchstick Men,2003
The Matrix Reloaded,2003
The Matrix Revolutions,2003
May,2003
The Medallion,2003
A Mighty Wind,2003
"Milwaukee, Minnesota",2003
The Missing,2003
Mona Lisa Smile,2003
Monster,2003
Monster Man,2003
My Boss's Daughter,2003
My Flesh and Blood,2003
Mystic River,2003
National Lampoon Presents Dorm Daze,2003
National Lampoon's Gold Diggers,2003
National Security,2003
The Night We Called it a Day,2003
Old School,2003
Once Upon a Time in Mexico,2003
Open Range,2003
Open Water,2003
The Order,2003
Out of Time,2003
Party Monster,2003
Paper Soldiers,2003
Pauly Shore Is Dead,2003
Paycheck,2003
Peter Pan,2003
Phone Booth,2003
Pieces of April,2003
Piglet's Big Movie,2003
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Poolhall Junkies,2003
Prey for Rock & Roll,2003
Puppet Master: The Legacy,2003
Quicksand,2003
Radio,2003
The Real Cancun,2003
The Recruit,2003
The Room,2003
Rugrats Go Wild,2003
Runaway Jury,2003
The Rundown,2003
S.W.A.T.,2003
Scary Movie 3,2003
School of Rock,2003
Seabiscuit,2003
Secondhand Lions,2003
Shade,2003
Shanghai Knights,2003
Shattered Glass,2003
Sinbad: Legend of the Seven Seas,2003
The Singing Detective,2003
Sky Blue,2003
Something's Gotta Give,2003
Spy Kids 3-D: Game Over,2003
The Station Agent,2003
Stuck on You,2003
Tarnationthe,2003
Tears of the Sun,2003
Terminator 3: Rise of the Machines,2003
Testosterone,2003
The Texas Chainsaw Massacre,2003
Thirteen,2003
This Girl's Life,2003
This Thing of Ours,2003
Timeline,2003
Tupac: Resurrection,2003
Two Days,2003
Uncle Nino,2003
Under the Tuscan Sun,2003
Underworld,2003
Uptown Girls,2003
V-Day: Until the Violence Stops,2003
Veronica Guerin,2003
View from the Top,2003
What a Girl Wants,2003
When Eagles Strike,2003
Willard,2003
Wonderland,2003
Wrong Turn,2003
X2: X-Men United,2003
