Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
The Way of the Gun,49.0,R,119 min,08 Sep 2000,"Action, Crime, Drama, Thriller",5225573.0,6.7,"30,448",Internet Movie Database,6.7,Rotten Tomatoes,4.5,Metacritic,4.9,09,2000
What Lies Beneath,51.0,PG-13,130 min,21 Jul 2000,"Drama, Fantasy, Horror, Mystery, Thriller",155018556.0,6.6,"111,260",Internet Movie Database,6.6,Rotten Tomatoes,4.6,Metacritic,5.1,07,2000
What Women Want,47.0,PG-13,127 min,15 Dec 2000,"Comedy, Fantasy, Romance",181483882.0,6.4,"181,897",Internet Movie Database,6.4,Rotten Tomatoes,5.4,Metacritic,4.7,12,2000
Whipped,10.0,R,82 min,01 Sep 2000,"Comedy, Romance",3780907.0,4.5,"3,828",Internet Movie Database,4.5,Rotten Tomatoes,1.3,Metacritic,1.0,09,2000
The Whole Nine Yards,47.0,R,98 min,18 Feb 2000,"Comedy, Crime",57262492.0,6.7,"103,774",Internet Movie Database,6.7,Rotten Tomatoes,4.5,Metacritic,4.7,02,2000
Woman on Top,41.0,R,92 min,22 Sep 2000,"Comedy, Fantasy, Romance",4513772.0,5.3,"9,597",Internet Movie Database,5.3,Rotten Tomatoes,3.4,Metacritic,4.1,09,2000
X-Men,64.0,PG-13,104 min,14 Jul 2000,"Action, Adventure, Sci-Fi",156164829.0,7.4,"541,531",Internet Movie Database,7.4,Rotten Tomatoes,8.1,Metacritic,6.4,07,2000
You Can Count on Me,85.0,R,111 min,22 Dec 2000,Drama,8409329.0,7.5,"26,184",Internet Movie Database,7.5,Rotten Tomatoes,9.5,Metacritic,8.5,12,2000
15 Minutes,34.0,R,120 min,09 Mar 2001,"Action, Crime, Drama, Thriller",24160216.0,6.1,"46,699",Internet Movie Database,6.1,Rotten Tomatoes,3.2,Metacritic,3.4,03,2001
3000 Miles to Graceland,21.0,R,125 min,23 Feb 2001,"Action, Comedy, Crime, Thriller",15346114.0,6.0,"42,026",Internet Movie Database,6.0,Rotten Tomatoes,1.4,Metacritic,2.1,02,2001
Ali,65.0,R,157 min,25 Dec 2001,"Biography, Drama, Sport",58183966.0,6.8,"88,641",Internet Movie Database,6.8,Rotten Tomatoes,6.7,Metacritic,6.5,12,2001
Along Came a Spider,42.0,R,104 min,06 Apr 2001,"Drama, Thriller",73587034.0,6.4,"69,296",Internet Movie Database,6.4,Rotten Tomatoes,3.1,Metacritic,4.2,04,2001
America's Sweethearts,44.0,PG-13,102 min,20 Jul 2001,"Comedy, Romance",93008426.0,5.7,"52,712",Internet Movie Database,5.7,Rotten Tomatoes,3.2,Metacritic,4.4,07,2001
American Outlaws,25.0,PG-13,94 min,17 Aug 2001,"Action, Western",11888985.0,6.0,"13,227",Internet Movie Database,6.0,Rotten Tomatoes,1.4,Metacritic,2.5,08,2001
American Pie 2,43.0,R,108 min,10 Aug 2001,Comedy,144044409.0,6.4,"227,143",Internet Movie Database,6.4,Rotten Tomatoes,5.2,Metacritic,4.3,08,2001
The Anniversary Party,56.0,R,115 min,29 Jun 2001,"Comedy, Drama, Romance",2974308.0,6.3,"7,775",Internet Movie Database,6.3,Rotten Tomatoes,6.1,Metacritic,5.6,06,2001
Antitrust,31.0,PG-13,105 min,12 Jan 2001,"Action, Crime, Drama, Thriller",10965209.0,6.1,"27,586",Internet Movie Database,6.1,Rotten Tomatoes,2.4,Metacritic,3.1,01,2001
Atlantis: The Lost Empire,52.0,PG,95 min,15 Jun 2001,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",83561615.0,6.9,"93,866",Internet Movie Database,6.9,Rotten Tomatoes,4.9,Metacritic,5.2,06,2001
Baby Boy,55.0,R,130 min,27 Jun 2001,"Crime, Drama, Romance, Thriller",27823989.0,6.4,"11,784",Internet Movie Database,6.4,Rotten Tomatoes,7.1,Metacritic,5.5,06,2001
Bandits,60.0,PG-13,123 min,12 Oct 2001,"Comedy, Crime, Drama, Romance",41176738.0,6.5,"62,694",Internet Movie Database,6.5,Rotten Tomatoes,6.4,Metacritic,6.0,10,2001
Bartleby,48.0,PG-13,83 min,10 Mar 2001,"Comedy, Drama, Mystery",60283.0,6.4,"1,701",Internet Movie Database,6.4,Rotten Tomatoes,3.5,Metacritic,4.8,03,2001
Behind Enemy Lines,49.0,PG-13,106 min,30 Nov 2001,"Action, Drama, Thriller, War",58767833.0,6.4,"95,223",Internet Movie Database,6.4,Rotten Tomatoes,3.7,Metacritic,4.9,11,2001
Big Bad Love,49.0,R,111 min,01 Oct 2001,"Comedy, Drama, Romance",100420.0,6.2,606,Internet Movie Database,6.2,Rotten Tomatoes,4.1,Metacritic,4.9,10,2001
Black Hawk Down,74.0,R,144 min,18 Jan 2002,"Drama, History, War",108585355.0,7.7,"342,968",Internet Movie Database,7.7,Rotten Tomatoes,7.6,Metacritic,7.4,01,2002
Black Knight,32.0,PG-13,95 min,21 Nov 2001,"Adventure, Comedy, Fantasy",33327325.0,4.9,"35,875",Internet Movie Database,4.9,Rotten Tomatoes,1.3,Metacritic,3.2,11,2001
The Brothers,50.0,R,106 min,23 Mar 2001,"Comedy, Drama",26553854.0,6.4,"3,810",Internet Movie Database,6.4,Rotten Tomatoes,6.3,Metacritic,5.0,03,2001
The Business of Strangers,67.0,R,84 min,21 Dec 2001,"Drama, Thriller",495907.0,6.4,"3,542",Internet Movie Database,6.4,Rotten Tomatoes,8.0,Metacritic,6.7,12,2001
Captain Corelli's Mandolin,36.0,R,131 min,17 Aug 2001,"Drama, Music, Romance, War",25261240.0,5.9,"31,261",Internet Movie Database,5.9,Rotten Tomatoes,2.8,Metacritic,3.6,08,2001
The Cat's Meow,63.0,PG-13,114 min,03 May 2002,"Drama, Romance",3176936.0,6.4,"7,367",Internet Movie Database,6.4,Rotten Tomatoes,7.5,Metacritic,6.3,05,2002
CQ,56.0,R,88 min,31 May 2002,"Drama, Comedy, Sci-Fi",301194.0,6.3,"4,428",Internet Movie Database,6.3,Rotten Tomatoes,6.6,Metacritic,5.6,05,2002
Crazy/Beautiful,61.0,PG-13,99 min,29 Jun 2001,"Drama, Romance",16162786.0,6.5,"23,041",Internet Movie Database,6.5,Rotten Tomatoes,6.3,Metacritic,6.1,06,2001
